danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,image_path,error
0.772,0.73,11.0,-6.657,0.0,0.0972,0.152,0.000107,0.274,0.786,136.175,audio_features,1lRtH4FszTrwwlK5gTSbXO,spotify:track:1lRtH4FszTrwwlK5gTSbXO,https://api.spotify.com/v1/tracks/1lRtH4FszTrwwlK5gTSbXO,https://api.spotify.com/v1/audio-analysis/1lRtH4FszTrwwlK5gTSbXO,174943.0,3.0,Album-Cover-GAN/images/1lRtH4FszTrwwlK5gTSbXO.jpeg,
0.467,0.74,4.0,-4.595,1.0,0.0344,0.0516,0.0,0.086,0.375,143.82,audio_features,0wgpdRjaFPJcMDk4k2inkV,spotify:track:0wgpdRjaFPJcMDk4k2inkV,https://api.spotify.com/v1/tracks/0wgpdRjaFPJcMDk4k2inkV,https://api.spotify.com/v1/audio-analysis/0wgpdRjaFPJcMDk4k2inkV,201067.0,4.0,Album-Cover-GAN/images/0wgpdRjaFPJcMDk4k2inkV.jpeg,
0.279,0.386,9.0,-8.301,1.0,0.0314,0.329,0.0,0.104,0.133,147.938,audio_features,4Sab6e6jf4wosrhWMynBYZ,spotify:track:4Sab6e6jf4wosrhWMynBYZ,https://api.spotify.com/v1/tracks/4Sab6e6jf4wosrhWMynBYZ,https://api.spotify.com/v1/audio-analysis/4Sab6e6jf4wosrhWMynBYZ,330822.0,3.0,Album-Cover-GAN/images/4Sab6e6jf4wosrhWMynBYZ.jpeg,
0.939,0.713,0.0,-6.964,0.0,0.206,0.247,0.0,0.0732,0.69,123.065,audio_features,4vj1VHAC9n8ZodCqdnauS7,spotify:track:4vj1VHAC9n8ZodCqdnauS7,https://api.spotify.com/v1/tracks/4vj1VHAC9n8ZodCqdnauS7,https://api.spotify.com/v1/audio-analysis/4vj1VHAC9n8ZodCqdnauS7,187376.0,4.0,Album-Cover-GAN/images/4vj1VHAC9n8ZodCqdnauS7.jpeg,
0.667,0.9,5.0,-8.816,0.0,0.0381,0.071,0.764,0.378,0.0318,125.993,audio_features,43eF4GLcpQkzJElhw7kGUj,spotify:track:43eF4GLcpQkzJElhw7kGUj,https://api.spotify.com/v1/tracks/43eF4GLcpQkzJElhw7kGUj,https://api.spotify.com/v1/audio-analysis/43eF4GLcpQkzJElhw7kGUj,234796.0,4.0,Album-Cover-GAN/images/43eF4GLcpQkzJElhw7kGUj.jpeg,
0.581,0.822,6.0,-7.853,1.0,0.115,0.0404,6.81e-05,0.0772,0.471,168.063,audio_features,0GamKm5LCEwxFh8p2VWvnq,spotify:track:0GamKm5LCEwxFh8p2VWvnq,https://api.spotify.com/v1/tracks/0GamKm5LCEwxFh8p2VWvnq,https://api.spotify.com/v1/audio-analysis/0GamKm5LCEwxFh8p2VWvnq,174286.0,4.0,Album-Cover-GAN/images/0GamKm5LCEwxFh8p2VWvnq.jpeg,
0.269,0.31,4.0,-12.291,1.0,0.0353,0.834,0.0641,0.216,0.0582,120.082,audio_features,4iRgmpVb0clp165RO56FY6,spotify:track:4iRgmpVb0clp165RO56FY6,https://api.spotify.com/v1/tracks/4iRgmpVb0clp165RO56FY6,https://api.spotify.com/v1/audio-analysis/4iRgmpVb0clp165RO56FY6,220459.0,4.0,Album-Cover-GAN/images/4iRgmpVb0clp165RO56FY6.jpeg,
0.482,0.706,9.0,-5.762,1.0,0.0607,0.135,0.00106,0.105,0.144,92.513,audio_features,4esOae7i4rqTbAu9o5Pxco,spotify:track:4esOae7i4rqTbAu9o5Pxco,https://api.spotify.com/v1/tracks/4esOae7i4rqTbAu9o5Pxco,https://api.spotify.com/v1/audio-analysis/4esOae7i4rqTbAu9o5Pxco,224920.0,4.0,Album-Cover-GAN/images/4esOae7i4rqTbAu9o5Pxco.jpeg,
0.894,0.791,2.0,-4.699,1.0,0.112,0.0183,0.0,0.0388,0.583,105.018,audio_features,5rb9QrpfcKFHM1EUbSIurX,spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX,250373.0,4.0,Album-Cover-GAN/images/5rb9QrpfcKFHM1EUbSIurX.jpeg,
0.723,0.627,6.0,-5.863,1.0,0.0292,0.317,0.0,0.188,0.711,87.973,audio_features,06V8tMMLJS1lNNejvWFzDt,spotify:track:06V8tMMLJS1lNNejvWFzDt,https://api.spotify.com/v1/tracks/06V8tMMLJS1lNNejvWFzDt,https://api.spotify.com/v1/audio-analysis/06V8tMMLJS1lNNejvWFzDt,159216.0,4.0,Album-Cover-GAN/images/06V8tMMLJS1lNNejvWFzDt.jpeg,
0.708,0.587,11.0,-7.93,0.0,0.151,0.273,0.0,0.0718,0.554,83.46,audio_features,6MLsahMK3VvH9NUwXOktdS,spotify:track:6MLsahMK3VvH9NUwXOktdS,https://api.spotify.com/v1/tracks/6MLsahMK3VvH9NUwXOktdS,https://api.spotify.com/v1/audio-analysis/6MLsahMK3VvH9NUwXOktdS,262133.0,4.0,Album-Cover-GAN/images/6MLsahMK3VvH9NUwXOktdS.jpeg,
